DATENUM_EXCEL,MATLAB_DATENUM,TMPC
40199.27292,735621.2729,2.8
40199.31458,735621.3146,3.3
40199.35625,735621.3563,3.9
40199.39792,735621.3979,3.9
40199.43958,735621.4396,3.9
40199.48125,735621.4813,3.9
40199.52292,735621.5229,3.9
40199.56458,735621.5646,2.8
40199.60625,735621.6063,1.7
40199.64792,735621.6479,1.7
40199.68958,735621.6896,2.2
40199.73125,735621.7313,1.7
40199.77292,735621.7729,1.7
40199.81458,735621.8146,1.1
40199.85625,735621.8563,1.1
40199.89792,735621.8979,1.7
40199.93958,735621.9396,1.7
40199.98125,735621.9813,1.7
40200.02292,735622.0229,1.7
40200.06458,735622.0646,1.7
40200.10625,735622.1063,2.2
40200.14792,735622.1479,1.7
40200.18958,735622.1896,1.7
40200.23125,735622.2313,1.7
40200.27292,735622.2729,1.1
40200.31458,735622.3146,1.7
40200.35625,735622.3563,1.7
40200.39792,735622.3979,1.7
